sample_id;hole_id;depth_from;depth_to;core_length;cr_%;is_old;is_twin;ni;fe;mgo;sio2;sm;co;cao;al2o3;lith
B1/E07-024A/JAS/25;E07-024A;16;17;1;1;1;0;0.41;6.54;36.64;41.95;1.144923581;0;0.27;0.78;BRK
B1/E07-024A/JAS/26;E07-024A;17;18;1;1;1;0;0.41;6.54;36.64;41.95;1.144923581;0;0.27;0.78;BRK
B1/E07-025/JAS/01;E07-025;0;1;1;1;1;0;0.43;31.14;1.63;26.85;16.47239264;0.01;0.01;17.98;LIM
B1/E07-025/JAS/02;E07-025;1;2;1;1;1;0;0.63;38.54;0.74;24.36;32.91891892;0.01;0.1;7.11;LIM
B1/E07-025/JAS/03;E07-025;2;3;1;1;1;0;0.57;25.18;1.93;43.78;22.68393782;0.09;0;5.82;LIM
B1/E07-025/JAS/04;E07-025;3;4;1;1;1;0;1.1;36.55;2.72;32.41;11.91544118;0.19;0.07;5.58;BLD
B1/E07-025/JAS/05;E07-025;4;5;1;1;1;0;1.9;13.13;19.03;39.15;2.057277982;0.02;0.15;1.41;SAP
B1/E07-025/JAS/06;E07-025;5;6;1;1;1;0;1.79;16.82;16.71;37.19;2.225613405;0.03;0.16;1.57;SAP
B1/E07-025/JAS/07;E07-025;6;7;1;1;1;0;1.68;19.21;12.23;36.84;3.012264922;0.04;0.29;1.62;SAP
B1/E07-025/JAS/08;E07-025;7;8;1;1;1;0;1.24;3.92;26.48;55.73;2.104607251;0.01;0.16;0.89;SAP
B1/E07-025/JAS/09;E07-025;8;9;1;1;1;0;1.5;16.87;16.08;38.73;2.40858209;0.03;0.21;1.61;SAP
B1/E07-025/JAS/10;E07-025;9;10;1;1;1;0;0.31;6.07;33.04;43.9;1.328692494;0;0.19;1.06;SAP
B1/E07-025/JAS/11;E07-025;10;11;1;1;1;0;0.28;6.49;33.67;42.23;1.254232254;0;0.16;0.95;SAP
B1/E07-025/JAS/12;E07-025;11;12;1;1;1;0;0.25;5.36;36.23;42.78;1.180789401;0.01;0.16;0.74;BRK
B1/E07-025/JAS/13;E07-025;12;13;1;1;1;0;0.26;5.38;35.96;42.53;1.182703003;0;0.13;0.65;BRK
B1/E07-025/JAS/14;E07-025;13;14;1;1;1;0;0.26;5.68;34.96;42.83;1.225114416;0;0.14;0.71;BRK
B1/E07-025/JAS/15;E07-025;14;15;1;1;1;0;0.25;5.31;36.74;43.32;1.179096353;0;0.2;0.98;BRK
B1/E07-026/JAS/01;E07-026;0;1;1;1;1;0;0.43;31;13.13;26.93;2.05102818;0;0;15.25;LIM
B1/E07-026/JAS/02;E07-026;1;1.3;0.3;1;1;0;0.39;28.64;16.73;28.7;1.715481172;0.01;0;16.23;LIM
B1/E07-026/JAS/03;E07-026;1.3;2.12;0.82;1;1;0;0.17;5.93;44.82;87.8;1.958946899;0.02;0.12;6.76;BLD
B1/E07-026/JAS/04;E07-026;2.12;3;0.88;1;1;0;0.83;25.77;13.57;33.05;2.435519528;0.02;0.13;6.8;RSAP
B1/E07-026/JAS/05;E07-026;3;4;1;1;1;0;0.64;7.17;45.66;44.3;0.97021463;0.01;1.02;7.53;RSAP
B1/E07-026/JAS/06;E07-026;4;5;1;1;1;0;0.55;7.58;37.71;44.18;1.171572527;0.01;0.33;2.7;RSAP
B1/E07-026/JAS/07;E07-026;5;6;1;1;1;0;0.39;6.44;37.42;42.51;1.136023517;0;0.23;1.4;BLD
B1/E07-026/JAS/08;E07-026;6;6.25;0.25;1;1;0;0.28;5.72;39.29;42.4;1.079155001;0;0.22;0.96;BLD
B1/E07-026/JAS/09;E07-026;6.25;7;0.75;1;1;0;0.22;5.3;55.25;43.58;0.788778281;0;0.18;4.77;RSAP
B1/E07-026/JAS/10;E07-026;7;8;1;1;1;0;0.26;5.79;42.67;42.59;0.998125146;0;0.18;1.81;RSAP
B1/E07-026/JAS/11;E07-026;8;9;1;1;1;0;0.24;5.51;40.95;43.07;1.051770452;0;0.17;1.3;RSAP
B1/E07-026/JAS/12;E07-026;9;9.8;0.8;1;1;0;0.26;5.88;39.22;42.63;1.086945436;0;0.18;1.31;SROC
B1/E07-026/JAS/13;E07-026;9.8;10;0.2;1;1;0;0.25;5.6;38.75;41.39;1.068129032;0;0.18;0.97;BRK
B1/E07-026/JAS/14;E07-026;10;11;1;1;1;0;0.25;5.49;40.03;41.36;1.033225081;0;0.18;0.84;BRK
B1/E07-026/JAS/15;E07-026;11;12;1;1;1;0;0.26;5.78;38.3;41.51;1.08381201;0;0.27;0.88;BRK
B1/E07-027/JAS/01;E07-027;0;0.25;0.25;1;1;0;0.84;29.05;11.16;31.19;2.794802867;0.06;0.03;8.27;LIM
B1/E07-027/JAS/02;E07-027;0.25;1;0.75;1;1;0;1.07;10.29;28.88;40.63;1.406855956;0.02;0.13;1.93;SAP
B1/E07-027/JAS/03;E07-027;1;2;1;1;1;0;0.79;9.36;26.59;42.8;1.60962768;0.01;0.15;1.34;SAP
B1/E07-027/JAS/04;E07-027;2;3;1;1;1;0;0.79;9.36;26.59;42.8;1.60962768;0.01;0.15;1.34;BLD
B1/E07-027/JAS/05;E07-027;3;4;1;1;1;0;0.79;9.36;26.59;42.8;1.60962768;0.01;0.15;1.34;BLD
B1/E07-027/JAS/06;E07-027;4;4.3;0.3;1;1;0;0.27;5.96;32.7;44.17;1.350764526;0;0.14;0.8;SAP
B1/E07-027/JAS/07;E07-027;4.3;4.55;0.25;1;1;0;0.27;5.96;32.7;44.17;1.350764526;0;0.14;0.8;BLD
B1/E07-027/JAS/08;E07-027;4.55;5.5;0.95;1;1;0;0.32;8.09;29.73;44.01;1.480322906;0.01;0.22;1.68;SAP
B1/E07-027/JAS/09;E07-027;5.5;6;0.5;1;1;0;0.32;8.09;29.73;44.01;1.480322906;0.01;0.22;1.68;BRK
B1/E07-027/JAS/10;E07-027;6;7;1;1;1;0;0.32;8.09;29.73;44.01;1.480322906;0.01;0.22;1.68;BRK
B1/E07-027/JAS/11;E07-027;7;8;1;1;1;0;0.32;8.09;29.73;44.01;1.480322906;0.01;0.22;1.68;BRK
B1/E07-028/JAS/01;E07-028;0;0.78;0.78;1;1;0;1.01;31.45;18.24;32.28;1.769736842;0.07;0.19;10.09;LIM
B1/E07-028/JAS/02;E07-028;0.78;1.38;0.6;1;1;0;0.33;6.26;37.98;41.71;1.098209584;0;0.26;1.32;BLD
B1/E07-028/JAS/03;E07-028;1.38;2;0.62;1;1;0;1.06;24.47;12.58;37.59;2.988076312;0.05;0.31;6.9;LIM
B1/E07-028/JAS/04;E07-028;2;2.83;0.83;1;1;0;1.05;20.04;21.77;41.48;1.905374368;0.05;0.33;3.44;BLD
B1/E07-028/JAS/05;E07-028;2.83;3;0.17;1;1;0;0.49;6.37;35.79;42.46;1.186364906;0;0.19;1.07;RSAP
B1/E07-028/JAS/06;E07-028;3;4;1;1;1;0;0.64;10.26;27.2;44.83;1.648161765;0.02;0.18;1.61;SROC
B1/E07-028/JAS/07;E07-028;4;5;1;1;1;0;0.37;7.29;33.38;44.48;1.332534452;0;0.15;1.13;SROC
B1/E07-028/JAS/08;E07-028;5;6;1;1;1;0;0.26;5.69;39.02;41.57;1.065351102;0;0.17;0.9;BRK
B1/E07-028/JAS/09;E07-028;6;7;1;1;1;0;0.26;5.65;37.89;42.59;1.124043283;0;0.18;0.87;BRK
B1/E07-028/JAS/10;E07-028;7;7.5;0.5;1;1;0;0.26;5.67;38.455;42.08;1.094266025;0;0.175;0.885;BRK
B1/E07-029/JAS/01;E07-029;0;1;1;1;1;0;0.39;33.27;0.5;24.55;49.1;0;0.04;17.1;LIM
B1/E07-029/JAS/02;E07-029;1;2;1;1;1;0;0.63;44.62;0.56;21.53;38.44642857;0.07;0.09;10.87;LIM
B1/E07-029/JAS/03;E07-029;2;2.6;0.6;1;1;0;0.68;35.77;0.51;29.12;57.09803922;0.1;0.01;13.68;LIM
B1/E07-029/JAS/04;E07-029;2.6;3;0.4;1;1;0;1.8;12.42;20.54;40.8;1.986368062;0.03;0.12;2.1;SAP
B1/E07-029/JAS/05;E07-029;3;4;1;1;1;0;1.49;9.22;26.34;42.37;1.608580106;0.02;0.1;1.94;SAP
B1/E07-029/JAS/06;E07-029;4;5;1;1;1;0;1.82;11.59;21.25;40.93;1.926117647;0.03;0.1;1.21;SAP
B1/E07-029/JAS/07;E07-029;5;6;1;1;1;0;1.07;21.57;15.18;33.96;2.23715415;0.05;0.05;4.38;RSAP
B1/E07-029/JAS/08;E07-029;6;7;1;1;1;0;0.88;13.06;22.95;41.16;1.793464052;0.03;0.12;2.53;RSAP
B1/E07-029/JAS/09;E07-029;7;8;1;1;1;0;0.47;9.01;25.84;43.88;1.698142415;0.01;0.13;0.84;RSAP
B1/E07-029/JAS/10;E07-029;8;9;1;1;1;0;0.39;8.67;26.69;44.18;1.655301611;0.01;0.13;0.74;RSAP
B1/E07-029/JAS/11;E07-029;9;10;1;1;1;0;0.35;7.96;29.59;46;1.55457925;0.01;0.17;1.76;RSAP
B1/E07-029/JAS/12;E07-029;10;11;0.9;0.9;1;0;0.34;8.09;28.28;45.4;1.605374823;0.01;0.15;1.27;RSAP
B1/E07-029/JAS/13;E07-029;11;11.7;0.7;1;1;0;0.31;7.65;27.86;44.56;1.5994257;0.01;0.18;1.36;RSAP
B1/E07-029/JAS/14;E07-029;11.7;12.7;1;1;1;0;0.31;7.65;27.86;44.56;1.5994257;0.01;0.18;1.36;BRK
B1/E07-029/JAS/15;E07-029;12.7;13.7;1;1;1;0;0.31;7.65;27.86;44.56;1.5994257;0.01;0.18;1.36;BRK
B1/E07-030/JAS/01;E07-030;0;1;1;1;1;0;0.88;40.89;10.93;24;2.1957914;0;0;11.3;LIM
B1/E07-030/JAS/02;E07-030;1;2;1;1;1;0;1.7;26.68;14.95;31.07;2.07826087;0.04;0.09;4.12;LIM
B1/E07-030/JAS/03;E07-030;2;2.35;0.35;1;1;0;1.72;16.49;16.57;38.63;2.331321666;0.03;0.18;2.44;SAP
B1/E07-030/JAS/04;E07-030;2.35;3;0.65;1;1;0;1.66;11.3;21.13;41.49;1.963558921;0.02;0.17;1.22;RSAP
B1/E07-030/JAS/05;E07-030;3;4;1;1;1;0;1.85;11.05;23.7;38.79;1.636708861;0.03;0.21;0.8;RSAP
B1/E07-030/JAS/06;E07-030;4;5;1;1;1;0;1.63;11.85;21.13;39.79;1.883104591;0.04;0.13;1;RSAP
B1/E07-030/JAS/07;E07-030;5;6;1;1;1;0;1.45;11.26;22.26;41.17;1.84950584;0.03;0.18;1.1;RSAP
B1/E07-030/JAS/08;E07-030;6;7;1;1;1;0;0.83;8.65;27.66;42.99;1.554229935;0.01;0.14;0.83;RSAP
B1/E07-030/JAS/09;E07-030;7;8;1;1;1;0;0.78;12.06;23.9;39.96;1.671966527;0.03;0.08;0.67;SAP
B1/E07-030/JAS/10;E07-030;8;9;1;1;1;0;0.41;9.34;28.15;43.01;1.527886323;0.01;0.12;0.87;SAP
B1/E07-030/JAS/11;E07-030;9;10;1;1;1;0;0.31;6.68;33.74;44.16;1.308832247;0;0.13;0.74;SAP
B1/E07-030/JAS/12;E07-030;10;10.65;0.65;1;1;0;0.31;6.87;33.26;44.12;1.32651834;0;0.14;0.7;RSAP
B1/E07-030/JAS/13;E07-030;10.65;11.2;0.55;1;1;0;0.26;5.66;36.44;42.87;1.176454446;0;0.18;0.65;BLD
B1/E07-030/JAS/14;E07-030;11.2;12;0.8;1;1;0;0.28;6.74;34.17;43.97;1.286801288;0;0.12;0.82;SROC
B1/E07-030/JAS/15;E07-030;12;13;1;1;1;0;0.27;5.96;35.05;44.67;1.27446505;0;0.13;0.74;RSAP
B1/E07-030/JAS/16;E07-030;13;13.2;0.2;1;1;0;0.29;6.12;34.63;44.38;1.281547791;0;0.15;0.66;RSAP
B1/E07-030/JAS/17;E07-030;13.2;14.2;1;1;1;0;0.26;5.86;36.16;42.96;1.188053097;0;0.17;0.63;BLD
B1/E07-030/JAS/18;E07-030;14.2;15;0.8;1;1;0;0.25;5.34;39.08;43.54;1.114124872;0;0.12;0.6;RSAP
B1/E07-030/JAS/19;E07-030;15;15.6;0.6;1;1;0;0.25;5.27;39.08;43.34;1.109007165;0;0.14;0.58;RSAP
B1/E07-030/JAS/20;E07-030;15.6;16.1;0.5;1;1;0;0.27;5.99;37.8;42.53;1.125132275;0;0.17;0.66;SROC
B1/E07-030/JAS/21;E07-030;16.1;16.6;0.5;1;1;0;0.27;6.15;37.35;42.46;1.136813922;0;0.16;0.61;BLD
B1/E07-030/JAS/22;E07-030;16.6;17.4;0.8;1;1;0;0.28;6.55;36.13;42.62;1.179629117;0;0.14;0.52;SROC
B1/E07-030/JAS/23;E07-030;17.4;18.25;0.85;1;1;0;0.27;6.35;36.75;41.1;1.118367347;0;0.15;0.44;BLD
B1/E07-030/JAS/24;E07-030;18.25;19;0.75;1;1;0;0.27;6.19;35.95;43.12;1.199443672;0;0.13;0.5;SROC
B1/E07-030/JAS/25;E07-030;19;20;1;1;1;0;0.27;6.33;35.49;43.31;1.220343759;0;0.14;0.54;SROC
B1/E07-030/JAS/26;E07-030;20;21;1;1;1;0;0.29;6.4;35.73;42.68;1.194514414;0;0.16;0.61;SROC
B1/E07-030/JAS/27;E07-030;21;21.3;0.3;1;1;0;0.28;5.95;36.73;43.18;1.175605772;0;0.15;0.67;SROC
B1/E07-030/JAS/28;E07-030;21.3;21.65;0.35;1;1;0;0.27;6.04;36.9;43.03;1.166124661;0;0.17;0.62;BLD
B1/E07-030/JAS/29;E07-030;21.65;22.1;0.45;1;1;0;0.27;5.67;40.54;43.56;1.074494327;0;0.19;1.5;SROC
B1/E07-030/JAS/30;E07-030;22.1;22.5;0.4;1;1;0;0.27;5.67;40.54;43.56;1.074494327;0;0.19;1.5;BRK
B1/E07-031/JAS/01;E07-031;0;1;1;1;1;0;0.33;30.02;5.25;26.98;5.139047619;0.02;0.01;20.7;LIM
B1/E07-031/JAS/02;E07-031;1;2;1;1;1;0;0.58;37.18;1.27;23.02;18.12598425;0.06;0.06;15.73;LIM
B1/E07-031/JAS/03;E07-031;2;3;1;1;1;0;1.1;48.19;0.63;21.01;33.34920635;0.07;0.17;9.14;LIM
B1/E07-031/JAS/04;E07-031;3;4;1;1;1;0;1.09;54.44;0.44;22.92;52.09090909;0.05;0.16;5.59;LIM
B1/E07-031/JAS/05;E07-031;4;5;1;1;1;0;1.91;18.02;11.7;37.61;3.214529915;0.07;0.12;3.29;SAP
B1/E07-031/JAS/06;E07-031;5;6;1;1;1;0;1.87;10.13;21.7;41.04;1.89124424;0.02;0.16;1.9;SAP
B1/E07-031/JAS/07;E07-031;6;7;1;1;1;0;1.98;10.62;20.14;41.41;2.056107249;0.02;0.13;1.5;SAP
B1/E07-031/JAS/08;E07-031;7;8;1;1;1;0;1.76;21.6;11.55;36.66;3.174025974;0.04;0.08;1.72;SAP
B1/E07-031/JAS/09;E07-031;8;9;1;1;1;0;1.64;29.26;3.37;33.61;9.973293769;0.05;0.08;2.24;SAP
B1/E07-031/JAS/10;E07-031;9;10;1;1;1;0;1.55;19.04;14.75;37.91;2.570169492;0.04;0.05;1.3;SAP
B1/E07-031/JAS/11;E07-031;10;11;1;1;1;0;1.92;21.63;10.94;35.83;3.275137112;0.02;0.07;0.89;SAP
B1/E07-031/JAS/12;E07-031;11;12;1;1;1;0;1.42;15.1;14.72;42.91;2.915081522;0.03;0.13;1.22;SAP
B1/E07-031/JAS/13;E07-031;12;13;1;1;1;0;1.34;15.57;14.67;41.83;2.85139741;0.03;0.11;1.12;RSAP
B1/E07-031/JAS/14;E07-031;13;14;1;1;1;0;0.98;14.34;19.36;41.06;2.120867769;0.03;0.09;0.98;RSAP
B1/E07-031/JAS/15;E07-031;14;15;1;1;1;0;0.69;10.86;22.8;42.72;1.873684211;0.03;0.11;0.82;RSAP
B1/E07-031/JAS/16;E07-031;15;16;1;1;1;0;0.42;8.68;25.48;45.11;1.770408163;0.01;0.13;1.07;RSAP
B1/E07-031/JAS/17;E07-031;16;17;1;1;1;0;0.42;8.89;24.7;45.42;1.838866397;0.01;0.15;0.82;RSAP
B1/E07-031/JAS/18;E07-031;17;18;1;1;1;0;0.4;8.2;26.97;45.03;1.669632925;0;0.14;0.87;RSAP
B1/E07-031/JAS/19;E07-031;18;19;1;1;1;0;0.4;8.2;26.97;45.03;1.669632925;0;0.14;0.87;BRK
B1/E07-031/JAS/20;E07-031;19;20;1;1;1;0;0.4;8.2;26.97;45.03;1.669632925;0;0.14;0.87;BRK
B1/E07-032/JAS/01;E07-032;0;1;1;1;1;0;0.87;31.09;11.4;27.64;2.424561404;0;0.08;11.88;LIM
