hole_id,date,easting_x,northing_y,elevation,elev_topo,eoh,is_old,is_twin,inc_samp,elev_1
E09-127,"44249",404459.652,113920.205,576.081,,10.1,"1","0","13",598.795043945312
E09-128,"44481",404479.659,113903.403,578.693,,15,"1","0","21",597.763488769531
E09-160A,"44481",404479.556,113849.856,587.634,,20,"1","0","28",610.706359863281
F07-001,"44248",404506.71,114873.485,366.71,,19,"1","1","19",385.779571533203
F07-002,"44256",404523.855,114858.029,361.801,,15.8,"1","1","16",383.319213867188
F07-003,"44248",404556.468,114875.302,354.937,,19,"1","1","19",378.004486083984
F07-004,"44256",404576.914,114846.977,355.231,,13,"1","1","13",373.975494384766
F07-005,"44248",404606.001,114874.269,351.683,,22.2,"1","1","23",369.827392578125
F07-033,"44255",404506.9,114822.984,364.506,,20,"1","1","20",386.197204589844
F07-034,"44394",404530.545,114797.258,363.651,,15,"1","1","21",383.723968505859
F07-035,"44255",404557.467,114824.814,359.653,,18,"1","1","18",377.922454833984
F07-036,"44394",404581.619,114801.061,360.306,,22.5,"1","1","27",378.875518798828
F07-037,"44248",404606.1,114827.635,350.593,,17,"1","1","19",371.828582763672
F07-038,"44395",404626.209,114792.456,353.584,,20,"1","0","28",371.384796142578
F07-040,"44395",404688.71,114785.019,355.237,,14,"1","1","19",352.874603271484
F07-041,"44247",404707.705,114823.041,352.455,,15,"1","1","15",345.104949951172
F07-065,"44255",404505.506,114773.581,373.419,,9.6,"1","1","14",391.999176025391
F07-066,"44394",404528.328,114751.388,371.954,,12,"1","0","18",390.730316162109
F07-067,"44255",404556.059,114769.852,364.205,,19,"1","1","21",385.290557861328
F07-069,"44248",404607.818,114774.385,351.673,,17.5,"1","0","18",375.015289306641
F07-070,"44395",404631.932,114735.632,359.513,,14,"1","0","21",369.361572265625
F07-071,"44248",404663.683,114773.619,347.057,,12,"1","1","12",359.413696289062
F07-072,"44395",404679.308,114746.098,363.556,,11,"1","1","14",361.103881835938
