hole_id,date,easting_x,northing_y,elevation,eoh,inc_samp
F10-010,44480,404734.762,113651.088,575.761,12.7,16
F10-011,44250,404761.943,113678.163,565.562,17.85,24
E07-216i,45274,404308.198,114542.703,426.751,11,11
E07-214i,45274,404263.628,114543.814,439.953,15,15
E07-217i,45274,404301.974,114569.749,425.814,15,16
E07-214,45274,404232.288,114552.977,441.896,7.7,10
E07-215i,45274,404280.433,114575.35,425.295,15,16
E07-214R,45274,404231.385,114552.425,442.039,15,17
E07-213i,45274,404240.542,114570.447,430.043,15,20
E07-212i,45274,404203.832,114559.434,447.08,15,16
E07-182i,45274,404263.945,114600.614,418.501,15,15
E07-213,45274,404211.908,114574.469,437.931,15,15
E07-184i ,45274,404300.795,114597.867,420.441,15,15
E07-180i,45274,404213.147,114586.754,430.816,9,10
E07-186i,45274,404327.303,114599.963,417.149,16,16
E07-181i,45274,404235.476,114624.136,411.15,15,15
E07-188i,45274,404347.097,114608.421,415.588,15,15
E07-183i,45274,404281.713,114624.181,414.008,16,16
E07-187i,45274,404351.738,114629.139,413.56,15,15
E07-183A,45274,404310.497,114625.365,416.248,15,16
E07-153i ,45274,404335.97,114674.747,408.395,15,15
E07-185i,45274,404330.162,114623.801,417.49,15,15
E07-152i,45274,404301.047,114646.864,410.417,15,15
E07-151i ,45274,404277.752,114672.667,410.672,27,27
E07-150i,45274,404256.671,114654.943,411.192,18,18
E07-147i,45274,404181.959,114673.007,408.811,15,15
E07-148i,45274,404204.862,114650.43,410.558,15,15
E07-114i,45274,404160.218,114688.853,407.29,25,26
E07-146i,45274,404162.583,114656.491,410.023,15,15
E07-116i,45274,404211.737,114707.78,401.216,21,21
E07-145i,45274,404133.968,114670.501,409.349,15,15
E07-113i,45274,404132.368,114716.167,396.955,20,20
E07-118i,45274,404254.251,114696.889,408.033,21,21
E07-115i,45274,404171.338,114722.438,392.276,14,14
E07-117i,45274,404231.881,114724.085,402.263,15,16
E07-082i,45274,404164.952,114744.207,388.405,15,15
E07-083i,45274,404193.35,114775.938,386.338,21,22
E07-081i,45274,404129.115,114774.13,388.522,18,19
E07-048i,45274,404103.619,114800.795,393.42,15,15
E07-050i,45274,404155.03,114802.319,387.661,22,22
E07-016i,45274,404110.872,114855.557,382.404,15,15
E07-049i,45274,404131.719,114829.944,385.276,15,15
E07-017i,45274,404136.441,114874.344,373.13,19,19
E07-018i,45274,404155.008,114849.695,376.385,17,18
E07-053i,45274,404235.901,114817.518,384.898,21,21
E07-019i,45274,404181.239,114880.339,363.472,17,18
E07-024i,45287,404306.125,114836.712,380.62,15,15
E07-085i,45274,404236.265,114776.079,389.904,15,15
E07-055i,45287,404282.865,114824.419,384.128,17,17
E07-086i,45287,404258.234,114749.429,398.993,15,15
E07-119i,45287,404278.463,114723.459,405.111,15,15
E07-054i,45287,404262.012,114796.363,390.273,16,17
E07-087i,45287,404280.406,114776.484,395.87,15,15
E07-088i,45287,404304.318,114748.607,398.777,16,16
E07-120i,45287,404304.521,114700.107,403.519,17,17
E07-122i,45287,404346.331,114699.906,403.19,15,15
E07-121i,45287,404318.051,114729.336,397.131,15,15
E07-123i,45287,404378.234,114732.187,384.343,10,12
E07-090i,45287,404350.325,114746.177,389.079,15,15
E07-155i,45287,404378.003,114675.99,401.122,15,15
E07-089i,45287,404326.562,114774.686,390.884,15,16
E07-056i,45303,404305.759,114801.15,389.109,13.38,14
E07-058i,45303,404357.977,114800.671,383.515,15,15
E07-057i,45303,404338.107,114825.003,382.147,15,15
E07-021i,45303,404225.863,114876.497,377.685,15,15
E07-023i,45303,404281.006,114879.146,368.26,15,15
E07-022i,45303,404263.126,114856.751,376.737,21,22
E07-020i,45303,404210.621,114860.074,377.608,16,16
E07-029i,45302,404439.123,114874.922,374.045,12,12
E07-028i,45302,404411.431,114857.002,373.639,10,10
E07-031i,45302,404478.048,114873.391,373.447,15,15
E07-030i,45302,404454.722,114835.38,380.229,12,12
F07-000i,45302,404496.079,114849.049,367.829,15,15
F07-001i,45302,404525.535,114874.785,362.47,18,19
F07-003i,45302,404584.825,114868.462,351.236,21,21
F07-002i,45302,404553.608,114849.638,354.01,18,18
F07-005i,45314,404627.058,114875.086,350.371,20,20
F07-004i,45314,404610.378,114848.42,352.159,21,23
F07-035i,45314,404577.753,114828.528,357.158,20,20
F07-006,45314,404632.486,114849.46,342.236,20,22
F07-033i,45314,404535.914,114818.203,360.323,20,21
E07-063i,45314,404477.768,114826.636,372.93,15,16
F07-037i,45314,404624.601,114820.847,341.372,18,20
E07-061i,45314,404432.28,114823.713,383.994,10,11
E07-060i,45314,404406.822,114796.364,384.751,10,11
F07-036i,45314,404605.863,114799.061,351.591,18,18
F07-034i,45332,404557.63,114803.691,359.991,18,20
F07-032i,45320,404499.004,114791.845,367.214,15,17
E07-062i,45320,404445.134,114784.107,382.322,12,15
E07-093i ,45320,404424.349,114769.313,388.98,10,11
E07-125A,45320,404411.136,114722.878,391.427,10,11
E07-127A,45332,404434.548,114730.266,387.335,15,18
F07-064i,45332,404500.761,114752.697,379.224,10,10
E07-095i,45332,404480.627,114775.02,376.976,15,19
F07-072i ,45332,404705.431,114751.93,363.081,15,16
F07-065i,45332,404533.13,114773.953,366.687,12,16
F07-067i,45332,404582.713,114779.289,359.893,12,12
F07-074,45332,404733.254,114751.391,354.525,12,12
F07-071i,45339,404684.931,114769.331,359.37,15,17
F07-073i,45332,404729.637,114776.543,362.05,15,16
F07-040i,45339,404708.387,114799.632,357.759,15,15
F07-042,45339,404734.137,114799.691,359.829,18,18
F07-040A,45342,404685.689,114797.387,350.378,15,18
F07-008i,45386,404709.313,114850.281,344.945,13,15
F07-130A,45342,404559.098,114672.752,388.845,10,16
F07-010,45342,404728.673,114851.047,350.231,20,20
F07-130i,45342,404557.693,114650.084,390.786,10,13
F07-161i,45342,404535,114622.798,389.625,9,10
F07-009i,45342,404731.275,114872.721,345.367,20,20
F07-161A,45352,404509.805,114625.321,386.575,10,12
F07-011,45352,404758.182,114874.153,347.176,19,19
F07-160i,45352,404500.057,114602.003,393.631,9,9
F07-011i,45352,404779.91,114874.903,339.489,8,8
E07-223i,45352,404474.093,114569.501,410.727,15,18
F07-012,45352,404777.607,114842.024,348.783,15,16
F07-193A,45352,404503.003,114561.853,410.425,20,20
F07-192i,45358,404502.89,114544.828,415.589,15,16
F07-225i,45358,404529.675,114520.156,415.699,10,11
F07-010i,45358,404754.068,114855.5,350.309,20,22
F07-226i,45358,404550.616,114494.073,420.189,13.5,14
