sample_id,hole_id,depth_from,depth_to,core_length,cr_%,ni,fe,mgo,sio2
B1/E08-153/JAS/07,E08-153,3.8,4,0.2,1,0.65,6.11,34.95,41.5
B1/E08-153/JAS/08,E08-153,4,4.42,0.42,1,1.16,13,17.72,43.18
B1/E08-153/JAS/09,E08-153,4.42,4.65,0.23,1,0.46,5.95,35.62,42.42
B1/E08-153/JAS/10,E08-153,4.65,5,0.35,1,0.9,9.94,21.59,46.68
B1/E08-153/JAS/11,E08-153,5,6,1,1,0.56,10.17,21.27,46.22
B1/E08-153/JAS/12,E08-153,6,7,1,1,0.34,7.92,27.4,46.57
B1/E08-153/JAS/13,E08-153,7,8,1,1,0.32,6.94,33.56,45.24
B1/E08-153/JAS/14,E08-153,8,9,1,1,0.3,7.83,38.16,44.06
B1/E08-153/JAS/15,E08-153,9,10,1,1,0.29,6.55,34.57,44.83
B1/E08-153/JAS/16,E08-153,10,10.5,0.5,1,0.34,7.71,32.25,44.36
B1/E08-158/JAS/01,E08-158,0,0.53,0.53,1,0.79,28.1,18.89,32.47
B1/E08-158/JAS/02,E08-158,0.53,1,0.47,1,0.95,31.47,16,30.49
B1/E08-158/JAS/03,E08-158,1,2,1,1,0.76,14.18,23.13,41.53
B1/E08-158/JAS/04,E08-158,2,3,1,1,0.45,11.34,27.6,43.27
B1/E08-158/JAS/05,E08-158,3,3.6,0.6,1,0.36,8.08,31.44,43.7
B1/E08-158/JAS/06,E08-158,3.6,4,0.4,1,0.3,6.1,36.11,44.71
B1/E08-158/JAS/07,E08-158,4,5,1,1,0.3,6.94,34.21,44.83
B1/E08-158/JAS/08,E08-158,5,5.3,0.3,1,0.29,7.01,34.94,44.16
B1/E08-158/JAS/09,E08-158,5.3,5.6,0.3,1,0.28,6.56,35.76,43.63
B1/E08-158/JAS/10,E08-158,5.6,6,0.4,1,0.28,7.51,31.73,46.64
B1/E08-160/JAS/01,E08-160,0,1,1,1,0.6,19.19,18.99,41.56
B1/E08-160/JAS/02,E08-160,1,2,1,1,0.64,15.08,19.05,43.82
B1/E08-160/JAS/03,E08-160,2,3,1,1,0.59,16.41,16.74,43.77
B1/E08-160/JAS/04,E08-160,3,4,1,1,0.92,40.98,11.73,24.53
B1/E08-160/JAS/05,E08-160,4,5,1,1,0.94,46.93,11.63,24.52
B1/E08-160/JAS/06,E08-160,5,6,1,1,1.25,48.91,11.28,24.84
B1/E08-160/JAS/07,E08-160,6,7,1,1,1.37,39.35,12.26,26.61
B1/E08-160/JAS/08,E08-160,7,8,1,1,0.98,19.88,13.56,35.86
B1/E08-160/JAS/09,E08-160,8,9,1,1,1.53,24.27,14.06,35.35
B1/E08-160/JAS/10,E08-160,9,10,1,1,1.41,25.15,15.99,36.2
B1/E08-160/JAS/11,E08-160,10,11,1,1,1.33,12.05,21.62,42.53
B1/E08-160/JAS/12,E08-160,11,12,1,1,1.38,15.76,16.76,41.69
B1/E08-160/JAS/13,E08-160,12,13,1,1,1.31,15.06,19.62,41.62
B1/E08-160/JAS/14,E08-160,13,14,1,1,0.78,9.1,30,41.15
B1/E08-160/JAS/15,E08-160,14,14.55,0.55,1,0.75,10.9,27.82,41.16
B1/E08-160/JAS/16,E08-160,14.55,14.75,0.2,1,0.34,6.31,36.17,42.82
B1/E08-160/JAS/17,E08-160,14.75,15,0.25,1,0.59,10.41,26.74,44.12
B1/E08-160/JAS/18,E08-160,15,16,1,1,0.63,11.02,24.15,44.43
B1/E08-160/JAS/19,E08-160,16,17,1,1,0.81,9.4,26.1,44.81
B1/E08-160/JAS/20,E08-160,17,18,1,1,0.28,6.37,40.4,43.77
B1/E08-160/JAS/21,E08-160,18,19,1,1,0.25,5.63,37.79,44.27
B1/E08-160/JAS/22,E08-160,19,20,1,1,0.29,6.82,35.43,41.99
B1/E08-179/JAS/01,E08-179,0,1,1,1,0.66,41.55,5.08,21.83
B1/E08-179/JAS/02,E08-179,1,2,1,1,0.92,50.78,6.83,21.95
B1/E08-179/JAS/03,E08-179,2,3,1,1,0.92,52.67,7.29,22
B1/E08-179/JAS/04,E08-179,3,4,1,1,0.89,47.99,8.74,23.63
B1/E08-179/JAS/05,E08-179,4,4.5,0.5,1,0.48,5.71,37.8,40.39
B1/E08-179/JAS/06,E08-179,4.5,5,0.5,1,1.76,11.29,23.92,39.94
B1/E08-179/JAS/07,E08-179,5,6,1,1,1.52,8.59,29.11,42.94
B1/E08-179/JAS/08,E08-179,6,6.3,0.3,1,0.87,6.46,35.83,40.87
B1/E08-179/JAS/09,E08-179,6.3,7,0.7,1,1.41,8.94,29.01,42.43
B1/E08-179/JAS/10,E08-179,7,8,1,1,1.23,11.03,27.06,42.46
B1/E08-179/JAS/11,E08-179,8,8.3,0.3,1,1.23,13.71,22.53,41.47
B1/E08-179/JAS/12,E08-179,8.3,9,0.7,1,0.39,7.86,32.72,45.16
B1/E08-179/JAS/13,E08-179,9,10,1,1,0.33,7.05,34.87,43.76
B1/E08-179/JAS/14,E08-179,10,11,1,1,0.36,7.72,33.95,45.03
B1/E08-179/JAS/15,E08-179,11,12,1,1,0.48,9.7,30.56,43.85
B1/E08-179/JAS/16,E08-179,12,13,1,1,0.43,9.43,31.5,43.34
B1/E08-179/JAS/17,E08-179,13,14,1,1,0.33,7.53,36.16,43.71
B1/E08-179/JAS/18,E08-179,14,15,0.6,0.6,0.28,6.08,37.53,44.83
B1/E08-179/JAS/19,E08-179,15,16,1,1,0.31,6.96,35.53,44.42
B1/E08-179/JAS/20,E08-179,16,16.6,0.6,1,0.29,6.5,36.88,44.19
B1/E08-179/JAS/21,E08-179,16.6,17,0.4,1,0.24,5.72,37.59,42.63
B1/E08-179/JAS/22,E08-179,17,17.75,0.75,1,0.25,5.87,39.82,45.85
B1/E08-179/JAS/23,E08-179,17.75,18,0.25,1,0.28,6.17,36.48,42.62
B1/E08-181/JAS/01,E08-181,0,1,1,1,0.57,40.1,7.72,23.21
B1/E08-181/JAS/02,E08-181,1,2,1,1,0.52,35.69,8.08,23.66
B1/E08-181/JAS/03,E08-181,2,3,0.5,0.5,0.95,41.7,10.53,26.01
B1/E08-181/JAS/04,E08-181,3,4,1,1,1.53,10.45,26.81,42.93
B1/E08-181/JAS/05,E08-181,4,5,1,1,1.4,13.97,20.93,41.31
B1/E08-181/JAS/06,E08-181,5,5.4,0.4,1,1.19,11.57,23.93,42.69
B1/E08-181/JAS/07,E08-181,5.4,5.75,0.35,1,0.47,5.43,37.05,41.2
B1/E08-181/JAS/08,E08-181,5.75,6,0.25,1,0.82,10.93,22.31,42.5
B1/E08-181/JAS/09,E08-181,6,7,1,1,0.72,12.29,20.59,44.34
B1/E08-181/JAS/10,E08-181,7,8,1,1,0.54,14.7,16.11,45.79
B1/E08-181/JAS/11,E08-181,8,9,1,1,0.45,10.52,25.54,46.44
B1/E08-181/JAS/12,E08-181,9,10,1,1,0.4,9.03,29.23,44.98
B1/E08-181/JAS/13,E08-181,10,10.4,0.4,1,0.36,8.01,32.55,43.79
B1/E08-181/JAS/14,E08-181,10.4,11,0.6,1,0.37,7.74,32.77,44.22
B1/E08-181/JAS/15,E08-181,11,11.8,0.8,1,0.36,8.02,31.34,46.16
B1/E08-185/JAS/01,E08-185,0,1,1,1,1.34,20.42,21.46,34.99
B1/E08-185/JAS/02,E08-185,1,2,1,1,1.15,9.36,31.21,41.44
B1/E08-185/JAS/03,E08-185,2,3,1,1,0.36,6.63,37.55,42.4
B1/E08-185/JAS/04,E08-185,3,4,1,1,0.44,9.81,27.26,46.31
B1/E08-185/JAS/05,E08-185,4,5,1,1,0.35,7.62,33.17,44.15
B1/E08-185/JAS/06,E08-185,5,5.73,0.73,1,0.34,7.17,34.25,43.69
B1/E08-185/JAS/07,E08-185,5.73,6,0.27,1,0.32,7.43,36.18,45.98
B1/E08-185/JAS/08,E08-185,6,6.69,0.69,1,0.3,6.93,41.5,45.91
B1/E08-185/JAS/09,E08-185,6.69,7,0.31,1,0.33,6.89,35.94,44.46
B1/E08-185/JAS/10,E08-185,7,8,1,1,0.34,7.66,33.77,45.35
B1/E08-185/JAS/11,E08-185,8,8.35,0.35,1,0.29,6.55,37.31,43.75
B1/E08-185/JAS/12,E08-185,8.35,9,0.65,1,0.33,7.71,32.55,45.35
B1/E08-185/JAS/13,E08-185,9,10,1,1,0.29,6.13,40.97,45.13
B1/E08-185/JAS/14,E08-185,10,11,1,1,0.28,6.1,37.55,45.3
B1/E08-185/JAS/15,E08-185,11,11.7,0.7,1,0.29,6.18,38.26,44.28
B1/E08-190/JAS/01,E08-190,0,1,1,1,0.64,22.01,11.42,40.42
B1/E08-190/JAS/02,E08-190,1,1.27,0.27,1,0.63,18.04,16.57,42.45
B1/E08-190/JAS/03,E08-190,1.27,1.5,0.23,1,0.32,7.14,35.19,42.74
B1/E08-190/JAS/04,E08-190,1.5,2,0.5,1,0.56,14.02,22.05,44.07
B1/E08-190/JAS/05,E08-190,2,3,1,1,0.6,15.32,19.95,43.98
B1/E08-190/JAS/06,E08-190,3,3.4,0.4,1,0.43,8.9,30.83,43.2
B1/E08-190/JAS/07,E08-190,3.4,4,0.6,1,0.49,10.55,26.64,45.34
B1/E08-190/JAS/08,E08-190,4,4.3,0.3,1,0.5,12.3,23.9,45.62
B1/E08-190/JAS/09,E08-190,4.3,5,0.7,1,0.53,10.89,24.52,45.17
B1/E08-190/JAS/10,E08-190,5,5.7,0.7,1,0.49,9.39,26.27,45.15
B1/E08-192/JAS/01,E08-192,0,1,1,1,0.58,15.05,20.09,42.92
B1/E08-192/JAS/02,E08-192,1,2,1,1,0.69,17.37,16.4,43
B1/E08-192/JAS/03,E08-192,2,2.5,0.5,1,0.65,18.72,14.48,42.62
B1/E08-192/JAS/04,E08-192,2.5,3,0.5,1,0.56,10.01,26.31,45.36
B1/E08-192/JAS/05,E08-192,3,3.35,0.35,1,0.72,13.85,19.84,45.88
B1/E08-211/JAS/01,E08-211,0,1,1,1,1.23,42.37,5.04,23.82
B1/E08-211/JAS/02,E08-211,1,2,1,1,1.6,20.71,12.68,34.71
B1/E08-211/JAS/03,E08-211,2,3,0.4,0.4,1.33,19.5,16.35,37.05
B1/E08-211/JAS/04,E08-211,3,4,1,1,1.13,14.5,20.94,41.38
B1/E08-211/JAS/05,E08-211,4,5,1,1,0.61,8.81,29.23,43.98
B1/E08-211/JAS/06,E08-211,5,5.52,0.52,1,0.4,8.27,31.59,44.27
B1/E08-211/JAS/07,E08-211,5.52,6,0.48,1,0.41,10.36,27.86,44.49
B1/E08-211/JAS/08,E08-211,6,7,1,1,0.4,8.57,31.01,44.22
B1/E08-211/JAS/09,E08-211,7,7.18,0.18,1,0.27,5.89,38.33,42.03
B1/E08-211/JAS/10,E08-211,7.18,8,0.82,1,0.35,7.85,33.74,44.58
B1/E08-211/JAS/11,E08-211,8,8.4,0.4,1,0.34,7.57,32.79,44.81
B1/E08-211/JAS/12,E08-211,8.4,9,0.6,1,0.31,7.05,35.1,44.64
B1/E08-211/JAS/13,E08-211,9,10,1,1,0.31,7.2,33.39,44.97
B1/E08-211/JAS/14,E08-211,10,11,1,1,0.31,6.87,33.92,44.98
B1/E08-211/JAS/15,E08-211,11,12,1,1,0.32,7.46,33.27,44.55
B1/E08-211/JAS/16,E08-211,12,13,1,1,0.31,7.35,33.71,44.26
B1/E08-211/JAS/17,E08-211,13,13.4,0.4,1,0.27,6.02,34.82,41.9
B1/E08-211/JAS/18,E08-211,13.4,14,0.6,1,0.29,6.9,33.81,44.14
B1/E08-211/JAS/19,E08-211,14,14.64,0.64,1,0.28,6.5,34.6,43.72
B1/E08-211/JAS/20,E08-211,14.64,15,0.36,1,0.26,5.87,36.46,42.33
B1/E08-211/JAS/21,E08-211,15,16,1,1,0.29,7.01,35.71,44.8
B1/E08-211/JAS/22,E08-211,16,17,1,1,0.26,6.4,38.6,44.99
B1/E08-211/JAS/23,E08-211,17,18,0.9,0.9,0.29,7.25,34.47,44.39
B1/E08-211/JAS/24,E08-211,18,19,1,1,0.29,6.89,34.02,44.27
B1/E08-211/JAS/25,E08-211,19,20,1,1,0.28,6.41,36.47,42.82
B1/E08-211/JAS/26,E08-211,20,21,1,1,0.25,5.8,36.59,42.99
B1/E08-213/JAS/01,E08-213,0,1,1,1,0.9,28.73,11.68,29.24
B1/E08-213/JAS/02,E08-213,1,2,1,1,1.17,13.94,22.85,40.14
B1/E08-213/JAS/03,E08-213,2,3,0.5,0.5,1.26,15.75,20.85,40.25
B1/E08-213/JAS/04,E08-213,3,4,1,1,0.99,10.25,29.17,42.09
B1/E08-213/JAS/05,E08-213,4,5,1,1,0.48,8.31,30.23,43.52
B1/E08-213/JAS/06,E08-213,5,6,1,1,0.42,9.04,29.45,44.16
B1/E08-213/JAS/07,E08-213,6,6.35,0.35,1,0.32,6.44,35.86,43.32
B1/E08-213/JAS/08,E08-213,6.35,7,0.65,1,0.32,7.36,33.89,45.1
B1/E08-213/JAS/09,E08-213,7,8,1,1,0.37,8.06,31.34,44.22
B1/E08-213/JAS/10,E08-213,8,9,1,1,0.32,7.38,33.25,45.75
B1/E08-213/JAS/11,E08-213,9,10,1,1,0.31,6.78,35.62,44.9
B1/E08-213/JAS/12,E08-213,10,11,1,1,0.3,6.63,35.09,43.66
B1/E08-213/JAS/13,E08-213,11,12,1,1,0.29,6.34,35.98,43.06
B1/E08-213/JAS/14,E08-213,12,13,1,1,0.31,6.82,34.26,44.59
B1/E08-215/JAS/01,E08-215,0,1,0.7,0.7,1.41,31.83,10.47,28.88
B1/E08-215/JAS/02,E08-215,1,2,0.7,0.7,1.5,10.41,28.65,41.3
B1/E08-215/JAS/03,E08-215,2,3,1,1,1.26,11.73,25.63,41.94
B1/E08-215/JAS/04,E08-215,3,4,1,1,0.9,11.48,25.22,42.11
B1/E08-215/JAS/05,E08-215,4,5,1,1,0.44,7.64,32.92,44.17
B1/E08-215/JAS/06,E08-215,5,6,1,1,0.35,6.38,37.52,43.09
B1/E08-215/JAS/07,E08-215,6,7,1,1,0.27,5.71,39.82,41.97
B1/E08-224/JAS/01,E08-224,0,1,1,1,0.81,43.42,12.56,24.53
B1/E08-224/JAS/02,E08-224,1,2,1,1,1.05,43.14,13.09,25.28
B1/E08-224/JAS/03,E08-224,2,3,1,1,1.01,21.91,15.84,35.24
B1/E08-224/JAS/04,E08-224,3,4,0.9,0.9,0.63,10.04,31.97,42.08
B1/E08-224/JAS/05,E08-224,4,5,1,1,0.72,9.69,31.29,42.61
B1/E08-224/JAS/06,E08-224,5,6,1,1,0.69,9.39,30.02,43.17
B1/E08-224/JAS/07,E08-224,6,7,1,1,0.66,8.95,31.13,42.94
B1/E08-224/JAS/08,E08-224,7,7.2,0.2,1,0.81,10.03,27.94,42.05
B1/E08-224/JAS/09,E08-224,7.2,7.4,0.2,1,0.99,6.65,33.91,42.71
B1/E08-224/JAS/10,E08-224,7.4,8,0.6,1,1.07,9.14,29.54,44.15
B1/E08-224/JAS/11,E08-224,8,9,1,1,1.29,9.82,27.96,42.82
B1/E08-224/JAS/12,E08-224,9,9.5,0.5,1,0.96,8.4,31.87,41.85
B1/E08-224/JAS/13,E08-224,9.5,10,0.5,1,0.51,5.63,37.87,41.51
B1/E08-255/JAS/01,E08-255,0,1,1,1,0.61,15.06,19.82,46.73
B1/E08-255/JAS/02,E08-255,1,1.36,0.36,1,0.57,14.17,23.2,45.03
B1/E08-255/JAS/03,E08-255,1.36,2,0.64,1,0.57,14.17,23.2,45.03
B1/E08-255/JAS/04,E08-255,2,3,1,1,0.59,14.13,22.44,45.46
B1/E08-255/JAS/05,E08-255,3,3.46,0.46,1,0.59,14.13,22.44,45.46
B1/E08-255/JAS/06,E08-255,3.46,4,0.54,1,0.59,13.99,21.93,47.71
B1/E08-255/JAS/07,E08-255,4,4.3,0.3,1,0.43,8.91,32.31,44.83
B1/E08-255/JAS/08,E08-255,4.3,5,0.7,1,0.54,14.03,21.63,46.92
B1/E08-255/JAS/09,E08-255,5,6,1,1,0.64,18.38,14.65,45.06
B1/E08-255/JAS/10,E08-255,6,7,1,1,0.56,13.79,21.63,46.64
B1/E08-255/JAS/11,E08-255,7,8,1,1,1.04,23.3,13.61,38.5
B1/E08-255/JAS/12,E08-255,8,9,1,1,0.65,14.95,27.31,39.43
B1/E08-255/JAS/13,E08-255,9,10,1,1,0.74,13.38,23.39,46.57
B1/E08-255/JAS/14,E08-255,10,11,1,1,0.52,8.3,30.76,47.75
B1/E08-255/JAS/15,E08-255,11,12,1,1,0.44,8.72,31.96,45.88
B1/E08-256/JAS/01,E08-256,0,1,1,1,0.93,27.83,14.34,33.08
B1/E08-256/JAS/02,E08-256,1,2,1,1,1.03,27.6,16.7,36.33
B1/E08-256/JAS/03,E08-256,2,3,1,1,0.97,23.75,18.83,38.33
B1/E08-256/JAS/04,E08-256,3,3.8,0.8,1,1.07,20,15.67,37.49
B1/E08-256/JAS/05,E08-256,3.8,4,0.2,1,0.39,5.83,37.74,41.22
B1/E08-256/JAS/06,E08-256,4,4.25,0.25,1,0.28,5.82,38.31,40.76
B1/E08-256/JAS/07,E08-256,4.25,4.7,0.45,1,1.28,13.31,20.84,41.08
B1/E08-256/JAS/08,E08-256,4.7,5,0.3,1,0.75,9.67,26.92,42.31
B1/E08-256/JAS/09,E08-256,5,5.8,0.8,1,1.38,22.92,15.68,36.63
B1/E08-256/JAS/10,E08-256,5.8,6,0.2,1,0.42,6.23,36.07,41.13
B1/E08-256/JAS/11,E08-256,6,6.38,0.38,1,0.55,5.95,36.41,41.18
B1/E08-256/JAS/12,E08-256,6.38,7,0.62,1,1.12,22.74,18.31,39.9
B1/E08-256/JAS/13,E08-256,7,8,1,1,0.88,12.98,20.76,43.4
B1/E08-256/JAS/14,E08-256,8,8.7,0.7,1,0.76,13.2,19.98,44.87
B1/E08-256/JAS/15,E08-256,8.7,9,0.3,1,0.52,7.83,31.19,44.39
B1/E08-256/JAS/16,E08-256,9,10,1,1,0.51,9.14,28.33,44.25
B1/E08-256/JAS/17,E08-256,10,10.5,0.5,1,0.54,9.97,26.33,44.4
B1/E09-031/JAS/01,E09-031,0,1,1,1,0.72,43.69,2.11,23.78
B1/E09-031/JAS/02,E09-031,1,2,1,1,1.17,29.75,9.29,30.45
B1/E09-031/JAS/03,E09-031,2,2.65,0.65,1,1.45,16.06,17.9,41.2
B1/E09-031/JAS/04,E09-031,2.65,3,0.35,1,1.15,7.25,33.38,41.58
B1/E09-031/JAS/05,E09-031,3,4,1,1,1.29,17.41,17.5,44.22
B1/E09-031/JAS/06,E09-031,4,4.25,0.25,1,1.56,20.07,11.78,44.44
B1/E09-031/JAS/07,E09-031,4.25,5,0.75,1,1.14,7.14,33.06,42.28
B1/E09-031/JAS/08,E09-031,5,5.26,0.26,1,0.45,5.82,40.68,41.04
B1/E09-031/JAS/09,E09-031,5.26,6,0.74,1,1.25,15.78,22.47,41.27
B1/E09-031/JAS/10,E09-031,6,7,1,1,1.08,14.9,20.6,44.26
B1/E09-031/JAS/11,E09-031,7,7.64,0.64,1,0.64,12.83,22.51,45.36
B1/E09-031/JAS/12,E09-031,7.64,9,1.36,1,0.54,7.65,33.37,46.28
B1/E09-031/JAS/13,E09-031,9,10,1,1,0.54,7.65,33.37,46.28
B1/E09-032/JAS/01,E09-032,0,1,1,1,0.53,36.06,10.41,25.02
B1/E09-032/JAS/02,E09-032,1,2,1,1,1.02,50.29,9.67,21.92
B1/E09-032/JAS/03,E09-032,2,3,1,1,1.09,46.74,8.73,20.56
B1/E09-032/JAS/04,E09-032,3,4,1,1,1.53,30.87,13.48,27.92
B1/E09-032/JAS/05,E09-032,4,5,1,1,1.31,31.61,12.66,29.1
B1/E09-032/JAS/06,E09-032,5,6,1,1,1.13,22.84,16.76,35.45
B1/E09-032/JAS/07,E09-032,6,7,1,1,1.15,17.65,15.47,39.86
B1/E09-032/JAS/08,E09-032,7,8,1,1,0.84,44.5,11.67,22.52
B1/E09-032/JAS/09,E09-032,8,8.8,0.8,1,0.45,7.24,32.72,42.29
B1/E09-032/JAS/10,E09-032,8.8,9,0.2,1,1.33,8.5,31.17,70.62
B1/E09-032/JAS/11,E09-032,9,10,1,1,1.09,15.27,25.74,49.6
B1/E09-032/JAS/12,E09-032,10,11,1,1,0.92,14.57,18.13,43.65
B1/E09-032/JAS/13,E09-032,11,11.16,0.16,1,0.59,7.69,30.41,43.46
B1/E09-032/JAS/14,E09-032,11.16,11.51,0.35,1,0.74,13.55,20.86,46.02
B1/E09-032/JAS/15,E09-032,11.51,12,0.49,1,0.39,6.39,34.23,43.89
B1/E09-032/JAS/16,E09-032,12,12.3,0.3,1,0.6,12.31,22.06,45.42
B1/E09-032/JAS/17,E09-032,12.3,13,0.7,1,0.39,6.85,33.22,44.24
B1/E09-032/JAS/18,E09-032,13,14,1,1,0.49,10.46,26.28,45.76
B1/E09-032/JAS/19,E09-032,14,14.45,0.45,1,0.45,9.07,30.93,44.51
B1/E09-032/JAS/20,E09-032,14.45,14.7,0.25,1,0.37,6.79,34.47,43.3
B1/E09-032/JAS/21,E09-032,14.7,15,0.3,1,0.54,9.87,28.4,44.62
B1/E09-064/JAS/01,E09-064,0,1,1,1,0.62,21.87,16.23,35.3
B1/E09-064/JAS/02,E09-064,1,2,1,1,1.02,42.82,11.23,25.29
B1/E09-064/JAS/03,E09-064,2,3,1,1,1.06,34.48,12.85,27.35
B1/E09-064/JAS/04,E09-064,3,4,1,1,1.02,35.4,10.47,24.01
B1/E09-064/JAS/05,E09-064,4,5,1,1,0.83,19.97,22.67,42.78
B1/E09-064/JAS/06,E09-064,5,6,1,1,0.85,26.7,16.58,35.31
B1/E09-064/JAS/07,E09-064,6,7,1,1,0.52,27.54,13.07,30.9
B1/E09-064/JAS/08,E09-064,7,8,1,1,0.71,18.75,22.53,45.71
B1/E09-064/JAS/09,E09-064,8,8.75,0.75,1,0.79,14.68,17.97,44.73
B1/E09-064/JAS/10,E09-064,8.75,9,0.25,1,0.82,14.36,18.6,47.21
B1/E09-064/JAS/11,E09-064,9,9.25,0.25,1,0.46,5.9,37.58,42.56
B1/E09-064/JAS/12,E09-064,9.25,10,0.75,1,0.87,11.95,21.54,46.41
B1/E09-064/JAS/13,E09-064,10,11,1,1,0.46,5.9,37.58,42.56
B1/E09-096/JAS/01,E09-096,0,1,1,1,0.69,21.33,17.2,32.69
B1/E09-096/JAS/02,E09-096,1,2,1,1,0.95,36.37,13.53,25.16
B1/E09-096/JAS/03,E09-096,2,3,1,1,0.99,22.52,17.31,32.25
B1/E09-096/JAS/04,E09-096,3,4,1,1,0.87,21.63,17.25,32.98
B1/E09-096/JAS/05,E09-096,4,5,1,1,0.7,16.72,18.62,35.69
B1/E09-096/JAS/06,E09-096,5,6,1,1,1.01,34,14.31,26.37
B1/E09-096/JAS/07,E09-096,6,7,1,1,0.8,17.64,19.19,35.25
B1/E09-096/JAS/08,E09-096,7,8,1,1,1.06,22.74,18.17,34.45
B1/E09-096/JAS/09,E09-096,8,9,1,1,1.05,14.34,18.6,39.65
B1/E09-096/JAS/10,E09-096,9,10,1,1,0.63,10.49,22.85,39.97
B1/E09-096/JAS/11,E09-096,10,11,1,1,0.54,9.44,23.9,41.48
B1/E09-096/JAS/12,E09-096,11,11.18,0.18,1,0.32,5.85,23.56,40.37
B1/E09-096/JAS/13,E09-096,11.18,11.77,0.59,1,0.55,10.29,22.79,41.05
B1/E09-096/JAS/14,E09-096,11.77,12,0.23,1,0.41,6.15,23.54,40.16
B1/E09-096/JAS/15,E09-096,12,13,1,1,0.57,8.89,25,40.73
B1/E09-096/JAS/16,E09-096,13,14,1,1,0.42,7.83,24.27,42.15
B1/E09-096/JAS/17,E09-096,14,15,1,1,0.3,6.69,27.44,42.61
B1/E09-096/JAS/18,E09-096,15,15.25,0.25,1,0.28,6.24,28.77,40.81
B1/E09-096/JAS/19,E09-096,15.25,15.57,0.32,1,0.34,7.45,23.76,40.67
B1/E09-096/JAS/20,E09-096,15.57,16,0.43,1,0.33,6.8,23.14,40.98
B1/E09-096/JAS/21,E09-096,16,17,1,1,0.29,6.67,23.13,41.02
B1/E09-096/JAS/22,E09-096,17,18,1,1,0.27,6.53,23.2,41.29
B1/E09-096/JAS/23,E09-096,18,18.69,0.69,1,0.26,6.18,24.47,39.73
B1/E09-096/JAS/24,E09-096,18.69,19,0.31,1,0.29,6.77,23.04,40.81
B1/E09-096/JAS/25,E09-096,19,20,1,1,0.25,5.96,24.16,40.56
B1/E09-127/JAS/01,E09-127,0,1,1,1,0.52,12.73,19.31,41.91
B1/E09-127/JAS/02,E09-127,1,2,1,1,0.55,12.61,18.17,43.29
B1/E09-127/JAS/03,E09-127,2,3,1,1,0.49,13.26,17.92,41.93
B1/E09-127/JAS/04,E09-127,3,3.7,0.7,1,0.66,13.98,15.44,45.41
B1/E09-127/JAS/05,E09-127,3.7,4,0.3,1,1.27,16.78,13.7,41.46
B1/E09-127/JAS/06,E09-127,4,5,1,1,1.27,21.48,12.23,34.13
B1/E09-127/JAS/07,E09-127,5,6,1,1,1.38,19.43,9.92,43.74
B1/E09-127/JAS/08,E09-127,6,7,1,1,1.09,16.82,12.02,42.74
B1/E09-127/JAS/09,E09-127,7,8,1,1,0.66,10.03,21.69,44.56
B1/E09-127/JAS/10,E09-127,8,9,1,1,0.37,8.04,25.78,44.92
B1/E09-127/JAS/11,E09-127,9,9.25,0.25,1,0.32,7.73,27.33,44.32
B1/E09-127/JAS/12,E09-127,9.25,10,0.75,1,0.32,7.73,27.33,44.32
B1/E09-127/JAS/13,E09-127,10,10.2,0.2,1,0.32,7.73,27.33,44.32
B1/E09-128/JAS/01,E09-128,0,0.8,0.8,1,0.62,16.49,21.65,39.84
B1/E09-128/JAS/02,E09-128,0.8,1.2,0.4,1,0.41,6.34,24.87,44.62
B1/E09-128/JAS/03,E09-128,1.2,2,0.8,1,0.69,17.09,21.2,39.77
B1/E09-128/JAS/04,E09-128,2,3,1,1,0.87,21.43,19.59,36.56
B1/E09-128/JAS/05,E09-128,3,4,1,1,1.06,16.48,22.3,42.24
B1/E09-128/JAS/06,E09-128,4,5,1,1,0.99,15.25,22.12,42.67
B1/E09-128/JAS/07,E09-128,5,6,0.9,0.9,0.76,11.03,23.58,45.01
B1/E09-128/JAS/08,E09-128,6,7.15,1.15,1,0.73,10.35,24.68,44.75
B1/E09-128/JAS/09,E09-128,7.15,8,0.85,1,0.28,5.35,29.77,41.03
B1/E09-128/JAS/10,E09-128,8,8.25,0.25,1,0.27,5.2,30.67,40.18
B1/E09-128/JAS/11,E09-128,8.25,9,0.75,1,0.35,6.35,27.49,42.47
B1/E09-128/JAS/12,E09-128,9,9.24,0.24,1,0.25,5.23,30.4,41.26
B1/E09-128/JAS/13,E09-128,9.24,9.48,0.24,1,0.35,6.56,26.31,42.93
B1/E09-128/JAS/14,E09-128,9.48,10,0.32,0.615384615,0.3,5.44,29.17,41.5
B1/E09-128/JAS/15,E09-128,10,10.42,0.42,1,0.44,7.83,23.13,44.42
B1/E09-128/JAS/16,E09-128,10.42,10.7,0.28,1,0.26,5.28,30.72,40.03
B1/E09-128/JAS/17,E09-128,10.7,11.7,0.3,0.3,0.61,8.04,24.01,42.32
B1/E09-128/JAS/18,E09-128,11.7,12.63,0.93,1,0.27,5.44,30.44,40.42
B1/E09-128/JAS/19,E09-128,12.63,13,0.37,1,0.41,6.72,26.03,43.05
B1/E09-128/JAS/20,E09-128,13,14,1,1,0.27,5.69,29.13,40.87
B1/E09-128/JAS/21,E09-128,14,15,1,1,0.26,5.74,30.03,40.19
B1/E09-160A/JAS/01,E09-160A,0,0.61,0.61,1,0.47,11.96,21.72,38.49
B1/E09-160A/JAS/02,E09-160A,0.61,1.6,0.99,1,0.26,5.35,27.28,40.19
