sample_id,hole_id,depth_from,depth_to,core_length,cr_%,lith
B1/E07-021/JAS/14,E07-021,12,13,1,1,SAP
B1/E07-021/JAS/15,E07-021,13,14,1,1,SAP
B1/E07-021/JAS/16,E07-021,14,15,1,1,RSAP
B1/E07-021/JAS/17,E07-021,15,16,1,1,RSAP
B1/E07-021/JAS/18,E07-021,16,17,1,1,RSAP
B1/E07-021/JAS/19,E07-021,17,18,1,1,BRK
B1/E07-021/JAS/20,E07-021,18,19,1,1,BRK
B1/E07-021/JAS/21,E07-021,19,19.5,0.5,1,BRK
B1/E07-022/JAS/01,E07-022,0,1,1,1,LIM
B1/E07-022/JAS/02,E07-022,1,2,1,1,LIM
B1/E07-022/JAS/03,E07-022,2,3,1,1,LIM
B1/E07-022/JAS/04,E07-022,3,4,1,1,LIM
B1/E07-022/JAS/05,E07-022,4,5,1,1,LIM
B1/E07-022/JAS/06,E07-022,5,6,1,1,LIM
B1/E07-022/JAS/07,E07-022,6,7,1,1,SAP
B1/E07-022/JAS/08,E07-022,7,8,1,1,SAP
B1/E07-022/JAS/09,E07-022,8,9,1,1,SAP
B1/E07-022/JAS/10,E07-022,9,10,1,1,SAP
B1/E07-022/JAS/11,E07-022,10,11,1,1,SAP
B1/E07-022/JAS/12,E07-022,11,12,1,1,SAP
B1/E07-022/JAS/13,E07-022,12,13,1,1,SAP
B1/E07-022/JAS/14,E07-022,13,14,1,1,SAP
B1/E07-022/JAS/15,E07-022,14,15,1,1,SAP
B1/E07-022/JAS/16,E07-022,15,16,1,1,RSAP
B1/E07-022/JAS/17,E07-022,16,16.3,0.3,1,RSAP
B1/E07-022/JAS/18,E07-022,16.3,16.5,0.2,1,BLD
B1/E07-022/JAS/19,E07-022,16.5,17,0.5,1,RSAP
B1/E07-022/JAS/20,E07-022,17,18,1,1,RSAP
B1/E07-022/JAS/21,E07-022,18,18.6,0.6,1,RSAP
B1/E07-022/JAS/22,E07-022,18.6,18.8,0.2,1,BLD
B1/E07-022/JAS/23,E07-022,18.8,19,0.2,1,RSAP
B1/E07-022/JAS/24,E07-022,19,20,1,1,RSAP
B1/E07-022/JAS/25,E07-022,20,21,1,1,RSAP
B1/E07-022/JAS/26,E07-022,21,22,1,1,RSAP
B1/E07-022/JAS/27,E07-022,22,23,1,1,RSAP
B1/E07-022/JAS/28,E07-022,23,24,0.4,0.4,RSAP
B1/E07-022/JAS/29,E07-022,24,25,1,1,RSAP
B1/E07-022/JAS/30,E07-022,25,26,1,1,RSAP
B1/E07-022/JAS/31,E07-022,26,27,0.7,0.7,RSAP
B1/E07-022/JAS/32,E07-022,27,28,1,1,RSAP
B1/E07-022/JAS/33,E07-022,28,29,1,1,RSAP
B1/E07-022/JAS/34,E07-022,29,30,1,1,RSAP
B1/E07-023/JAS/01,E07-023,0,1,1,1,LIM
B1/E07-023/JAS/02,E07-023,1,2,1,1,LIM
B1/E07-023/JAS/03,E07-023,2,3,1,1,LIM
B1/E07-023/JAS/04,E07-023,3,4,1,1,LIM
B1/E07-023/JAS/05,E07-023,4,5,1,1,LIM
B1/E07-023/JAS/06,E07-023,5,6,1,1,SAP
B1/E07-023/JAS/07,E07-023,6,7,1,1,SAP
B1/E07-023/JAS/08,E07-023,7,7.5,0.5,1,SAP
B1/E07-024A/JAS/01,E07-024A,0,0.35,0.35,1,LIM
B1/E07-024A/JAS/02,E07-024A,0.35,1,0.65,1,LIM
B1/E07-024A/JAS/03,E07-024A,1,2,1,1,LIM
B1/E07-024A/JAS/04,E07-024A,2,2.65,0.65,1,LIM
B1/E07-024A/JAS/05,E07-024A,2.65,3,0.35,1,SAP
B1/E07-024A/JAS/06,E07-024A,3,3.3,0.3,1,SAP
B1/E07-024A/JAS/07,E07-024A,3.3,4,0.7,1,SAP
B1/E07-024A/JAS/08,E07-024A,4,5,1,1,SAP
B1/E07-024A/JAS/09,E07-024A,5,6,1,1,SAP
B1/E07-024A/JAS/10,E07-024A,6,7,1,1,RSAP
B1/E07-024A/JAS/11,E07-024A,7,8,1,1,RSAP
B1/E07-024A/JAS/12,E07-024A,8,9,1,1,RSAP
B1/E07-024A/JAS/13,E07-024A,9,10,1,1,RSAP
B1/E07-024A/JAS/14,E07-024A,10,10.37,0.37,1,RSAP
B1/E07-024A/JAS/15,E07-024A,10.37,10.77,0.4,1,BLD
B1/E07-024A/JAS/16,E07-024A,10.77,11,0.23,1,RSAP
B1/E07-024A/JAS/17,E07-024A,11,11.33,0.33,1,BLD
B1/E07-024A/JAS/18,E07-024A,11.33,12,0.67,1,RSAP
B1/E07-024A/JAS/19,E07-024A,12,12.52,0.52,1,RSAP
B1/E07-024A/JAS/20,E07-024A,12.52,12.8,0.28,1,BLD
B1/E07-024A/JAS/21,E07-024A,12.8,13,0.2,1,RSAP
B1/E07-024A/JAS/22,E07-024A,13,14,1,1,RSAP
B1/E07-024A/JAS/23,E07-024A,14,15,1,1,RSAP
B1/E07-024A/JAS/24,E07-024A,15,16,1,1,BRK
B1/E07-024A/JAS/25,E07-024A,16,17,1,1,BRK
B1/E07-024A/JAS/26,E07-024A,17,18,1,1,BRK
B1/E07-025/JAS/01,E07-025,0,1,1,1,LIM
B1/E07-025/JAS/02,E07-025,1,2,1,1,LIM
B1/E07-025/JAS/03,E07-025,2,3,1,1,LIM
B1/E07-025/JAS/04,E07-025,3,4,1,1,BLD
B1/E07-025/JAS/05,E07-025,4,5,1,1,SAP
B1/E07-025/JAS/06,E07-025,5,6,1,1,SAP
B1/E07-025/JAS/07,E07-025,6,7,1,1,SAP
B1/E07-025/JAS/08,E07-025,7,8,1,1,SAP
B1/E07-025/JAS/09,E07-025,8,9,1,1,SAP
B1/E07-025/JAS/10,E07-025,9,10,1,1,SAP
B1/E07-025/JAS/11,E07-025,10,11,1,1,SAP
B1/E07-025/JAS/12,E07-025,11,12,1,1,BRK
B1/E07-025/JAS/13,E07-025,12,13,1,1,BRK
B1/E07-025/JAS/14,E07-025,13,14,1,1,BRK
B1/E07-025/JAS/15,E07-025,14,15,1,1,BRK
B1/E07-026/JAS/01,E07-026,0,1,1,1,LIM
B1/E07-026/JAS/02,E07-026,1,1.3,0.3,1,LIM
B1/E07-026/JAS/03,E07-026,1.3,2.12,0.82,1,BLD
B1/E07-026/JAS/04,E07-026,2.12,3,0.88,1,RSAP
B1/E07-026/JAS/05,E07-026,3,4,1,1,RSAP
B1/E07-026/JAS/06,E07-026,4,5,1,1,RSAP
B1/E07-026/JAS/07,E07-026,5,6,1,1,BLD
B1/E07-026/JAS/08,E07-026,6,6.25,0.25,1,BLD
B1/E07-026/JAS/09,E07-026,6.25,7,0.75,1,RSAP
B1/E07-026/JAS/10,E07-026,7,8,1,1,RSAP
B1/E07-026/JAS/11,E07-026,8,9,1,1,RSAP
B1/E07-026/JAS/12,E07-026,9,9.8,0.8,1,SROC
B1/E07-026/JAS/13,E07-026,9.8,10,0.2,1,BRK
B1/E07-026/JAS/14,E07-026,10,11,1,1,BRK
B1/E07-026/JAS/15,E07-026,11,12,1,1,BRK
B1/E07-027/JAS/01,E07-027,0,0.25,0.25,1,LIM
B1/E07-027/JAS/02,E07-027,0.25,1,0.75,1,SAP
B1/E07-027/JAS/03,E07-027,1,2,1,1,SAP
B1/E07-027/JAS/04,E07-027,2,3,1,1,BLD
B1/E07-027/JAS/05,E07-027,3,4,1,1,BLD
B1/E07-027/JAS/06,E07-027,4,4.3,0.3,1,SAP
B1/E07-027/JAS/07,E07-027,4.3,4.55,0.25,1,BLD
B1/E07-027/JAS/08,E07-027,4.55,5.5,0.95,1,SAP
B1/E07-027/JAS/09,E07-027,5.5,6,0.5,1,BRK
B1/E07-027/JAS/10,E07-027,6,7,1,1,BRK
B1/E07-027/JAS/11,E07-027,7,8,1,1,BRK
B1/E07-028/JAS/01,E07-028,0,0.78,0.78,1,LIM
B1/E07-028/JAS/02,E07-028,0.78,1.38,0.6,1,BLD
B1/E07-028/JAS/03,E07-028,1.38,2,0.62,1,LIM
B1/E07-028/JAS/04,E07-028,2,2.83,0.83,1,BLD
B1/E07-028/JAS/05,E07-028,2.83,3,0.17,1,RSAP
